story_name,clause_num,total_bits,wording_bits,semantic_bits
Hawkins,12,17.746276108434945,8.904133455486571,8.842142652948374
Hawkins,13,19.31013498343509,10.399661561310483,8.910473422124609
Hawkins,14,76.76519642670361,54.94938703960586,21.815809387097747
Hawkins,15,3.876538483254524,2.9480853234506896,0.9284531598038345
Hawkins,16,63.61277779039701,37.30912928926426,26.30364850113275
Hawkins,17,51.13677656650958,33.10238410760681,18.034392458902776
Hawkins,18,20.3209196820528,4.704080470133301,15.6168392119195
Hawkins,19,20.750012267785795,7.81577220818181,12.934240059603981
Hawkins,20,34.54261361152479,18.117516475873394,16.4250971356514
Hawkins,21,43.52036113835301,25.42503455292622,18.095326585426786
Hawkins,22,65.37599345119318,31.272774891025243,34.10321856016794
Hawkins,23,353.170759784731,249.13762325700662,104.03313652772435
Hawkins,24,36.69855510261301,31.324375175933145,5.3741799266798616
Hawkins,25,35.636962608785694,26.58912318609093,9.047839422694766
Hawkins,26,29.85094890999211,25.428380647471574,4.4225682625205325
Hawkins,27,9.30707366477138,8.580090631250377,0.7269830335210026
Hawkins,28,27.740619977660113,17.541107678138342,10.199512299521771
Hawkins,29,41.34786529297783,18.974821104191953,22.373044188785876
Hawkins,30,27.997300637251445,11.678221865464177,16.319078771787268
Hawkins,31,127.11284504515153,84.8203244244682,42.292520620683334
Hawkins,32,67.7221340092292,47.10173887402327,20.620395135205925
Hawkins,33,30.009183955991134,11.496123890402034,18.513060065589098
Hawkins,34,85.17060770457022,48.312408683459836,36.85819902111038
McCaffrey,1,49.02908928021087,23.65230893207414,25.376780348136727
McCaffrey,2,32.19576862733847,6.454087884172108,25.741680743166363
McCaffrey,3,22.38132136592936,6.961021190048279,15.420300175881081
McCaffrey,4,93.94406738320201,86.516684267049,7.427383116153004
McCaffrey,5,25.16263030300477,13.87748648451454,11.285143818490232
McCaffrey,6,27.323855093373005,7.270534918614107,20.0533201747589
McCaffrey,7,12.082570967445069,12.64612371779232,-0.5635527503472513
McCaffrey,8,24.153870879883193,11.789523537264497,12.364347342618695
McCaffrey,9,60.59600948830168,28.693288291143777,31.902721197157902
McCaffrey,10,44.777083771627375,11.985622288744949,32.79146148288243
McCaffrey,11,97.5213945765362,44.65142912360639,52.869965452929804
McCaffrey,12,13.119508028084011,6.6837356191184005,6.43577240896561
McCaffrey,13,63.116499166393794,31.614604855346236,31.501894311047554
McCaffrey,14,4.483062121798909,2.7290042043767775,1.7540579174221318
McCaffrey,15,85.23171796251829,29.163414554568455,56.06830340794983
McCaffrey,16,36.70982615761995,31.88581461464748,4.824011542972471
McCaffrey,17,117.8346534483759,41.17457282296739,76.66008062540851
McCaffrey,18,21.64106401613318,4.37039561071693,17.27066840541625
McCaffrey,19,35.639604258425706,25.603412216238823,10.036192042186883
McCaffrey,20,30.713624893925196,7.1867064451965845,23.526918448728615
McCaffrey,21,56.05412653429932,27.39993471611258,28.654191818186746
McCaffrey,22,11.766981427250608,1.0035641686345156,10.763417258616093
McCaffrey,23,55.373592560087765,12.076583214026455,43.297009346061316
McCaffrey,24,7.9094628583371485,2.0456964981874726,5.8637663601496754
McCaffrey,25,24.311665649980423,3.556017854691156,20.755647795289267
McCaffrey,26,21.28256960965047,13.89227972076736,7.39028988888311
